Año,Municipio,Tipo,Total
2022,Ahuachapán,AF,38
2022,Apaneca,AF,0
2022,Atiquizaya,AF,0
2022,Concepción de Ataco,AF,0
2022,El Refugio,AF,0
2022,Guaymango,AF,0
2022,Jujutla,AF,0
2022,San Francisco Menéndez,AF,0
2022,San Lorenzo,AF,0
2022,San Pedro Puxtla,AF,0
2022,Tacuba,AF,0
2022,Turín,AF,0
2022,Cabañas,AF,0
2022,Sensuntepeque,AF,0
2022,Cinquera,AF,0
2022,Dolores,AF,0
2022,Guacotecti,AF,0
2022,Ilobasco,AF,0
2022,Jutiapa,AF,0
2022,San Isidro,AF,0
2022,Tejutepeque,AF,0
2022,Victoria,AF,0
2022,Chalatenango,AF,17
2022,Agua Caliente,AF,0
2022,Arcatao,AF,0
2022,Azacualpa,AF,0
2022,Cancasque,AF,0
2022,Citalá,AF,0
2022,Comalapa,AF,0
2022,Concepción Quezaltepeque,AF,0
2022,Dulce Nombre de María,AF,0
2022,El Carrizal,AF,0
2022,El Paraíso,AF,0
2022,La Laguna,AF,0
2022,La Palma,AF,0
2022,La Reina,AF,0
2022,Las Flores,AF,0
2022,Las Vueltas,AF,0
2022,Nombre de Jesús,AF,0
2022,Nueva Concepción,AF,0
2022,Nueva Trinidad,AF,0
2022,Ojos de Agua,AF,0
2022,Potonico,AF,0
2022,San Antonio de la Cruz,AF,0
2022,San Antonio Los Ranchos,AF,0
2022,San Fernando,AF,0
2022,San Francisco Lempa,AF,0
2022,San Francisco Morazán,AF,0
2022,San Ignacio,AF,0
2022,San Isidro Labrador,AF,0
2022,San Luis del Carmen,AF,0
2022,San Miguel de Mercedes,AF,0
2022,San Rafael,AF,0
2022,Santa Rita,AF,0
2022,Tejutla,AF,0
2022,Cojutepeque,AF,0
2022,Candelaria,AF,0
2022,El Carmen,AF,0
2022,El Rosario,AF,0
2022,Monte San Juan,AF,0
2022,Oratorio de Concepción,AF,0
2022,San Bartolomé Perulapía,AF,0
2022,San Cristóbal,AF,0
2022,San José Guayabal,AF,0
2022,San Pedro Perulapán,AF,0
2022,San Rafael Cedros,AF,0
2022,San Ramón,AF,0
2022,Santa Cruz Analquito,AF,0
2022,Santa Cruz Michapa,AF,0
2022,Suchitoto,AF,0
2022,Tenancingo,AF,0
2022,Santa Tecla,AF,0
2022,Antiguo Cuscatlán,AF,0
2022,Chiltiupán,AF,0
2022,Ciudad Arce,AF,0
2022,Colón,AF,0
2022,Comasagua,AF,0
2022,Huizúcar,AF,0
2022,Jayaque,AF,0
2022,Jicalapa,AF,0
2022,La Libertad,AF,11
2022,Nuevo Cuscatlán,AF,0
2022,Quezaltepeque,AF,0
2022,San Juan Opico,AF,17
2022,Sacacoyo,AF,0
2022,San José Villanueva,AF,0
2022,San Matías,AF,0
2022,San Pablo Tacachico,AF,0
2022,Talnique,AF,0
2022,Tamanique,AF,0
2022,Teotepeque,AF,0
2022,Tepecoyo,AF,0
2022,Zaragoza,AF,0
2022,Zacatecoluca,AF,0
2022,Cuyultitán,AF,0
2022,El Rosario,AF,0
2022,Jerusalén,AF,0
2022,Mercedes La Ceiba,AF,0
2022,Olocuilta,AF,0
2022,Paraíso de Osorio,AF,0
2022,San Antonio Masahuat,AF,0
2022,San Emigdio,AF,0
2022,San Francisco Chinameca,AF,0
2022,San Pedro Masahuat,AF,0
2022,San Juan Nonualco,AF,0
2022,San Juan Talpa,AF,0
2022,San Juan Tepezontes,AF,0
2022,San Luis La Herradura,AF,0
2022,San Luis Talpa,AF,0
2022,San Miguel Tepezontes,AF,0
2022,San Pedro Nonualco,AF,0
2022,San Rafael Obrajuelo,AF,0
2022,Santa María Ostuma,AF,0
2022,Santiago Nonualco,AF,0
2022,Tapalhuaca,AF,0
2022,La Unión,AF,0
2022,Anamorós,AF,0
2022,Bolívar,AF,0
2022,Concepción de Oriente,AF,0
2022,Conchagua,AF,0
2022,El Carmen,AF,0
2022,El Sauce,AF,0
2022,Intipucá,AF,0
2022,Lislique,AF,0
2022,Meanguera del Golfo,AF,0
2022,Nueva Esparta,AF,0
2022,Pasaquina,AF,0
2022,Polorós,AF,0
2022,San Alejo,AF,0
2022,San José,AF,0
2022,Santa Rosa de Lima ,AF,0
2022,Yayantique,AF,0
2022,Yucuaiquín,AF,0
2022,San Francisco Gotera,AF,0
2022,Arambala,AF,0
2022,Cacaopera,AF,0
2022,Chilanga,AF,0
2022,Corinto,AF,1
2022,Delicias de Concepción,AF,0
2022,El Divisadero,AF,0
2022,El Rosario,AF,0
2022,Gualococti,AF,0
2022,Guatajiagua,AF,0
2022,Joateca,AF,0
2022,Jocoaitique,AF,0
2022,Jocoro,AF,0
2022,Lolotiquillo,AF,0
2022,Meanguera,AF,0
2022,Osicala,AF,0
2022,Perquín,AF,0
2022,San Carlos,AF,0
2022,San Fernando,AF,0
2022,San Isidro,AF,0
2022,San Simón,AF,0
2022,Sensembra,AF,0
2022,Sociedad,AF,0
2022,Torola,AF,0
2022,Yamabal,AF,0
2022,Yoloaiquín,AF,0
2022,Ziquilas,AF,0
2022,San Miguel ,AF,0
2022,Carolina,AF,0
2022,Chapeltique,AF,0
2022,Chinameca,AF,0
2022,Chirilagua,AF,0
2022,Ciudad Barrios,AF,0
2022,Comacarán,AF,0
2022,El Tránsito,AF,0
2022,Fundación,AF,0
2022,Lolotique,AF,0
2022,Moncagua,AF,0
2022,Nueva Guadalupe,AF,0
2022,Nuevo Edén de San Juan,AF,0
2022,Quelepa,AF,0
2022,San Antonio,AF,0
2022,San Gerardo,AF,0
2022,San Jorge,AF,0
2022,San Luis de la Reina,AF,0
2022,San Rafael Oriente,AF,0
2022,Sesori,AF,0
2022,Uluazapa,AF,0
2022,San Salvador,AF,125
2022,Aguilares,AF,0
2022,Apopa,AF,0
2022,Ayutuxtepeque,AF,0
2022,Ciudad Delgado,AF,33
2022,Cuscatancingo,AF,17
2022,El Paisnal,AF,0
2022,Guazapa,AF,0
2022,Ilopango,AF,17
2022,Intur,AF,0
2022,Mejicanos,AF,17
2022,Nejapa,AF,0
2022,Panchimalco,AF,0
2022,Rosario de Mora,AF,0
2022,San Marcos,AF,0
2022,San Martín,AF,14
2022,Santiago Texacuangos,AF,0
2022,Santo Tomás,AF,0
2022,Soyapango,AF,67
2022,Tonacatepeque,AF,0
2022,San Vicente,AF,0
2022,Apastepeque,AF,0
2022,Guadalupe,AF,0
2022,San Cayetano Istepeque,AF,0
2022,San Esteban Catarina,AF,0
2022,San Ildefonso,AF,0
2022,San Lorenzo,AF,0
2022,San Sebastián,AF,11
2022,Santa Clara,AF,0
2022,Santo Domingo,AF,0
2022,Tecoluca,AF,0
2022,Tepetitán,AF,0
2022,Verapaz,AF,0
2022,Santa Ana ,AF,0
2022,Candelaria de la Frontera,AF,0
2022,Chalchuapa,AF,0
2022,Coatepeque,AF,0
2022,El Congo,AF,0
2022,El Porvenir,AF,0
2022,Masahuat,AF,0
2022,Metapán,AF,0
2022,San Antonio Pajonal,AF,0
2022,San Sebastián Salitrillo,AF,0
2022,Santa Rosa Guachipilín,AF,0
2022,Santiago de la Frontera,AF,0
2022,Texistepeque,AF,0
2022,Sonsonate,AF,9
2022,Acajutla,AF,0
2022,Armenia,AF,0
2022,Caluco,AF,0
2022,Cuisnahuat,AF,0
2022,Izalco,AF,0
2022,Juayúa,AF,0
2022,Nahuizalco,AF,0
2022,Nahulingo,AF,0
2022,Salcoatitán,AF,0
2022,San Antonio del Monte,AF,0
2022,San Julián,AF,0
2022,Santa Catarina Masahuat,AF,0
2022,Santa Isabel Ishuatán,AF,0
2022,Santo Domingo de Guzmán,AF,0
2022,Sonzacate,AF,0
2022,Usulután,AF,59
2022,Alegría,AF,0
2022,Berlín,AF,0
2022,California,AF,0
2022,Concepción Batres,AF,0
2022,El Triunfo,AF,0
2022,Ereguayquín,AF,0
2022,Estanzuelas,AF,0
2022,Jiquilisco,AF,0
2022,Jucuapa,AF,0
2022,Jucuarán,AF,0
2022,Mercedes Umaña,AF,0
2022,Nueva Granada,AF,0
2022,Ozatlán,AF,0
2022,Puerto El Triunfo,AF,0
2022,San Agustín,AF,0
2022,San Buenaventura,AF,0
2022,San Dionisio,AF,0
2022,San Francisco Javier,AF,0
2022,Santa Elena,AF,0
2022,Santa María,AF,0
2022,Santiago de María,AF,0
2022,Tecapán,AF,0
