,username,text,hashtags
0,ChevereSv,"#SeguridadCiudadana | Capturan a 32 pandilleros en Soyapango, Ilopango y San Martín

Nota completa: https://t.co/Wbj2AJMspV https://t.co/nj8LAKAPBI",['SeguridadCiudadana']
1,milenioticia1,"#SeguridadCiudadana | Capturan a 32 pandilleros en Soyapango, Ilopango y San Martín

Nota completa: https://t.co/Wbj2AJMspV https://t.co/nj8LAKAPBI",['SeguridadCiudadana']
2,Zey89812646,"#SeguridadCiudadana | Capturan a 32 pandilleros en Soyapango, Ilopango y San Martín

Nota completa: https://t.co/Wbj2AJMspV https://t.co/nj8LAKAPBI",['SeguridadCiudadana']
3,golondrinanayib,"#SeguridadCiudadana | Capturan a 32 pandilleros en Soyapango, Ilopango y San Martín

Nota completa: https://t.co/Wbj2AJMspV https://t.co/nj8LAKAPBI",['SeguridadCiudadana']
4,ultimahsv,"#SeguridadCiudadana | Capturan a 32 pandilleros en Soyapango, Ilopango y San Martín

Nota completa: https://t.co/Wbj2AJMspV https://t.co/nj8LAKAPBI",['SeguridadCiudadana']
5,Martin82560959,"#SeguridadCiudadana | Más de 41 mil pandilleros han sido capturados desde el inicio del Régimen de Excepción

Nota completa: https://t.co/2eGEICgyI6 https://t.co/n3FGMOVlxe",['SeguridadCiudadana']
6,GoverneitorSv,"#SeguridadCiudadana | Más de 41 mil pandilleros han sido capturados desde el inicio del Régimen de Excepción

Nota completa: https://t.co/2eGEICgyI6 https://t.co/n3FGMOVlxe",['SeguridadCiudadana']
7,Ruben23am,"#SeguridadCiudadana | Más de 41 mil pandilleros han sido capturados desde el inicio del Régimen de Excepción

Nota completa: https://t.co/2eGEICgyI6 https://t.co/n3FGMOVlxe",['SeguridadCiudadana']
8,ultimahsv,"#SeguridadCiudadana | Más de 41 mil pandilleros han sido capturados desde el inicio del Régimen de Excepción

Nota completa: https://t.co/2eGEICgyI6 https://t.co/n3FGMOVlxe",['SeguridadCiudadana']
9,Ruben23am,"#SeguridadCiudadana | Celia Marisol Huezo Rosales, fue capturada en el departamento de La Paz, por el delito de agrupaciones ilícitas.

Ella se encargaba de controlar y cobrar extorsiones en las cercanías del río Jiboa. https://t.co/AT5MvvDhCa",['SeguridadCiudadana']
10,GatoEnZumba,"#SeguridadCiudadana | La @PNCSV arrestó en Pasaquina, La Unión, a Daniel Amaya Moreno, alias Drup. 

Este sujeto perfilado como pandillero posee antecedentes por robo y violencia intrafamiliar. https://t.co/ZY6fPNEcAN",['SeguridadCiudadana']
11,ultimahsv,"#SeguridadCiudadana | La @PNCSV arrestó en Pasaquina, La Unión, a Daniel Amaya Moreno, alias Drup. 

Este sujeto perfilado como pandillero posee antecedentes por robo y violencia intrafamiliar. https://t.co/ZY6fPNEcAN",['SeguridadCiudadana']
12,ultimahsv,"#SeguridadCiudadana | Celia Marisol Huezo Rosales, fue capturada en el departamento de La Paz, por el delito de agrupaciones ilícitas.

Ella se encargaba de controlar y cobrar extorsiones en las cercanías del río Jiboa. https://t.co/AT5MvvDhCa",['SeguridadCiudadana']
