location,info
Hernández,"[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 136, 'end': 147, 'body': 'Hernández', 'confidence': 0.5721, 'entities': [], 'suggested': True, 'value': 'Hernández', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 234, 'end': 242, 'body': 'Cojutepe', 'confidence': 0.9559, 'entities': [], 'suggested': True, 'value': 'Cojutepe', 'type': 'value'}]"
Cojutepe,"[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 136, 'end': 147, 'body': 'Hernández', 'confidence': 0.5721, 'entities': [], 'suggested': True, 'value': 'Hernández', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 234, 'end': 242, 'body': 'Cojutepe', 'confidence': 0.9559, 'entities': [], 'suggested': True, 'value': 'Cojutepe', 'type': 'value'}]"
Sarbia Maldonado Salgado,"[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 62, 'end': 86, 'body': 'Sarbia Maldonado Salgado', 'confidence': 0.9341, 'entities': [], 'suggested': True, 'value': 'Sarbia Maldonado Salgado', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 205, 'end': 220, 'body': 'del Pino, Cdad.', 'confidence': 0.6671, 'entities': [], 'suggested': True, 'value': 'del Pino, Cdad.', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 230, 'end': 243, 'body': 'San Salvador.', 'confidence': 0.892, 'entities': [], 'suggested': True, 'value': 'San Salvador.', 'type': 'value'}]"
"del Pino, Cdad.","[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 62, 'end': 86, 'body': 'Sarbia Maldonado Salgado', 'confidence': 0.9341, 'entities': [], 'suggested': True, 'value': 'Sarbia Maldonado Salgado', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 205, 'end': 220, 'body': 'del Pino, Cdad.', 'confidence': 0.6671, 'entities': [], 'suggested': True, 'value': 'del Pino, Cdad.', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 230, 'end': 243, 'body': 'San Salvador.', 'confidence': 0.892, 'entities': [], 'suggested': True, 'value': 'San Salvador.', 'type': 'value'}]"
San Salvador.,"[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 62, 'end': 86, 'body': 'Sarbia Maldonado Salgado', 'confidence': 0.9341, 'entities': [], 'suggested': True, 'value': 'Sarbia Maldonado Salgado', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 205, 'end': 220, 'body': 'del Pino, Cdad.', 'confidence': 0.6671, 'entities': [], 'suggested': True, 'value': 'del Pino, Cdad.', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 230, 'end': 243, 'body': 'San Salvador.', 'confidence': 0.892, 'entities': [], 'suggested': True, 'value': 'San Salvador.', 'type': 'value'}]"
Hernández,"[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 136, 'end': 147, 'body': 'Hernández', 'confidence': 0.5721, 'entities': [], 'suggested': True, 'value': 'Hernández', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 234, 'end': 242, 'body': 'Cojutepe', 'confidence': 0.9559, 'entities': [], 'suggested': True, 'value': 'Cojutepe', 'type': 'value'}]"
Cojutepe,"[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 136, 'end': 147, 'body': 'Hernández', 'confidence': 0.5721, 'entities': [], 'suggested': True, 'value': 'Hernández', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 234, 'end': 242, 'body': 'Cojutepe', 'confidence': 0.9559, 'entities': [], 'suggested': True, 'value': 'Cojutepe', 'type': 'value'}]"
Sarbia Maldonado Salgado,"[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 62, 'end': 86, 'body': 'Sarbia Maldonado Salgado', 'confidence': 0.9341, 'entities': [], 'suggested': True, 'value': 'Sarbia Maldonado Salgado', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 205, 'end': 220, 'body': 'del Pino, Cdad.', 'confidence': 0.6671, 'entities': [], 'suggested': True, 'value': 'del Pino, Cdad.', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 230, 'end': 243, 'body': 'San Salvador.', 'confidence': 0.892, 'entities': [], 'suggested': True, 'value': 'San Salvador.', 'type': 'value'}]"
"del Pino, Cdad.","[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 62, 'end': 86, 'body': 'Sarbia Maldonado Salgado', 'confidence': 0.9341, 'entities': [], 'suggested': True, 'value': 'Sarbia Maldonado Salgado', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 205, 'end': 220, 'body': 'del Pino, Cdad.', 'confidence': 0.6671, 'entities': [], 'suggested': True, 'value': 'del Pino, Cdad.', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 230, 'end': 243, 'body': 'San Salvador.', 'confidence': 0.892, 'entities': [], 'suggested': True, 'value': 'San Salvador.', 'type': 'value'}]"
San Salvador.,"[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 62, 'end': 86, 'body': 'Sarbia Maldonado Salgado', 'confidence': 0.9341, 'entities': [], 'suggested': True, 'value': 'Sarbia Maldonado Salgado', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 205, 'end': 220, 'body': 'del Pino, Cdad.', 'confidence': 0.6671, 'entities': [], 'suggested': True, 'value': 'del Pino, Cdad.', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 230, 'end': 243, 'body': 'San Salvador.', 'confidence': 0.892, 'entities': [], 'suggested': True, 'value': 'San Salvador.', 'type': 'value'}]"
