,username,text,hashtags
0,SanFelipeER,"#SeguridadCiudadana | Los pandilleros Wilmer Vladimir Hernández, alias Querubín, Juan Carlos Cruz, alias Títere y Aníbal Hernández Hernández, alias Toby, responderán ante la justicia por varios delitos cometidos en cantones de Cojutepeque. https://t.co/ETvfcyrN2O",['SeguridadCiudadana']
1,tuservidor77,"#SeguridadCiudadana | La @FUERZARMADASV y la @PNCSV capturó a Sarbia Maldonado Salgado, alias Gorda, perfilada como miembro de la Mao Mao y a quien se le incautó una pistola y 6 cartuchos en ctón. Plan del Pino, Cdad. Delgado, San Salvador. https://t.co/KUbSTv4oSG",['SeguridadCiudadana']
2,Notirevista503,"#SeguridadCiudadana | 2 armas largas y 3 cortas fueron localizadas al interior de una casa en la colonia Ciudad Jardín, San Miguel.

El inmueble era ocupado por terroristas.

El laboratorio científico de la @PNCSV determinará el origen del arsenal y su participación en crímenes. https://t.co/eqpPs0vVBZ",['SeguridadCiudadana']
3,GatoEnZumba,"#SeguridadCiudadana | 2 armas largas y 3 cortas fueron localizadas al interior de una casa en la colonia Ciudad Jardín, San Miguel.

El inmueble era ocupado por terroristas.

El laboratorio científico de la @PNCSV determinará el origen del arsenal y su participación en crímenes. https://t.co/eqpPs0vVBZ",['SeguridadCiudadana']
4,ultimahsv,"#SeguridadCiudadana | 2 armas largas y 3 cortas fueron localizadas al interior de una casa en la colonia Ciudad Jardín, San Miguel.

El inmueble era ocupado por terroristas.

El laboratorio científico de la @PNCSV determinará el origen del arsenal y su participación en crímenes. https://t.co/eqpPs0vVBZ",['SeguridadCiudadana']
5,casadey56,"#SeguridadCiudadana | Los pandilleros Wilmer Vladimir Hernández, alias Querubín, Juan Carlos Cruz, alias Títere y Aníbal Hernández Hernández, alias Toby, responderán ante la justicia por varios delitos cometidos en cantones de Cojutepeque. https://t.co/ETvfcyrN2O",['SeguridadCiudadana']
6,Munkia2,"#SeguridadCiudadana | La @FUERZARMADASV y la @PNCSV capturó a Sarbia Maldonado Salgado, alias Gorda, perfilada como miembro de la Mao Mao y a quien se le incautó una pistola y 6 cartuchos en ctón. Plan del Pino, Cdad. Delgado, San Salvador. https://t.co/KUbSTv4oSG",['SeguridadCiudadana']
7,Notirevista503,"#SeguridadCiudadana | Los pandilleros Wilmer Vladimir Hernández, alias Querubín, Juan Carlos Cruz, alias Títere y Aníbal Hernández Hernández, alias Toby, responderán ante la justicia por varios delitos cometidos en cantones de Cojutepeque. https://t.co/ETvfcyrN2O",['SeguridadCiudadana']
8,GatoEnZumba,"#SeguridadCiudadana | Los pandilleros Wilmer Vladimir Hernández, alias Querubín, Juan Carlos Cruz, alias Títere y Aníbal Hernández Hernández, alias Toby, responderán ante la justicia por varios delitos cometidos en cantones de Cojutepeque. https://t.co/ETvfcyrN2O",['SeguridadCiudadana']
9,ultimahsv,"#SeguridadCiudadana | Los pandilleros Wilmer Vladimir Hernández, alias Querubín, Juan Carlos Cruz, alias Títere y Aníbal Hernández Hernández, alias Toby, responderán ante la justicia por varios delitos cometidos en cantones de Cojutepeque. https://t.co/ETvfcyrN2O",['SeguridadCiudadana']
10,AlexDur28929015,"#SeguridadCiudadana | La @FUERZARMADASV y la @PNCSV capturó a Sarbia Maldonado Salgado, alias Gorda, perfilada como miembro de la Mao Mao y a quien se le incautó una pistola y 6 cartuchos en ctón. Plan del Pino, Cdad. Delgado, San Salvador. https://t.co/KUbSTv4oSG",['SeguridadCiudadana']
11,RosaGui00822395,"#SeguridadCiudadana | La @FUERZARMADASV y la @PNCSV capturó a Sarbia Maldonado Salgado, alias Gorda, perfilada como miembro de la Mao Mao y a quien se le incautó una pistola y 6 cartuchos en ctón. Plan del Pino, Cdad. Delgado, San Salvador. https://t.co/KUbSTv4oSG",['SeguridadCiudadana']
12,YahisCHNews,"#SeguridadCiudadana | La @FUERZARMADASV y la @PNCSV capturó a Sarbia Maldonado Salgado, alias Gorda, perfilada como miembro de la Mao Mao y a quien se le incautó una pistola y 6 cartuchos en ctón. Plan del Pino, Cdad. Delgado, San Salvador. https://t.co/KUbSTv4oSG",['SeguridadCiudadana']
